List-ID,List-Nr,Name,empty0,empty1,empty2,empty3,Aufnahmebedingung
1,1,Germaniaplatz_60385.jpeg,,,,,4
2,2,Usinger_Strasse_60389.jpeg,,,,,4
3,3,Langenselbolder_Strasse_60386.jpeg,,,,,4
4,4,Vogelstrasse_60528.jpeg,,,,,4
5,5,Bleichstrasse_60313.jpeg,,,,,4
6,6,Gutleuthofweg_60327.jpeg,,,,,4
7,7,Breitenbachbruecke_60487.jpeg,,,,,4
8,8,Gelbehirschstrasse_60313.jpeg,,,,,4
9,9,Salvador-Allende-Strasse_60487.jpeg,,,,,4
10,10,Unter_den_Birken_60596.jpeg,,,,,4
11,11,Melchiorstrasse_65929.jpeg,,,,,4
12,12,An_den_Postwiesen_60488.jpeg,,,,,4
13,13,Kruppstrasse_60388.jpeg,,,,,4
14,14,Johanna-Spyri-Weg_60438.jpeg,,,,,4
15,15,Apostelstrasse_60528.jpeg,,,,,4
16,16,Rheinstrasse_60325.jpeg,,,,,4
17,17,Heckerstrasse_60529.jpeg,,,,,4
18,18,Malssstrasse_60320.jpeg,,,,,4
19,19,Plessengasse_60386.jpeg,,,,,4
20,20,Daeumling_65936.jpeg,,,,,4
21,21,Josef-Fenzl-Strasse_65929.jpeg,,,,,4
22,22,Buchwaldstrasse_60385.jpeg,,,,,4
23,23,Dunantring_65936.jpeg,,,,,4
24,24,Myliusstrasse_60323.jpeg,,,,,4
25,25,Turiner_Strasse_60598.jpeg,,,,,4
26,26,Maybachbruecke_60439.jpeg,,,,,4
27,27,In_den_Waldgaerten_60488.jpeg,,,,,4
28,28,Rhoenstrasse_60316.jpeg,,,,,4
29,29,Ditmarstrasse_60487.jpeg,,,,,4
30,30,Elsterstrasse_65933.jpeg,,,,,4
31,31,Gisèle-Freund-Platz_60323.jpeg,,,,,4
32,32,Moerfelder_Landstrasse_60598.jpeg,,,,,4
33,33,Oberwiesenstrasse_60435.jpeg,,,,,4
34,34,Mauritiusstrasse_60529.jpeg,,,,,4
35,35,Am_Steinernen_Stock_60320.jpeg,,,,,4
36,36,Rabenkopfweg_65931.jpeg,,,,,4
37,37,Blauenstrasse_60528.jpeg,,,,,4
38,38,Schellingstrasse_60316.jpeg,,,,,4
39,39,Ohmstrasse_60486.jpeg,,,,,4
40,40,Donnersbergstrasse_60528.jpeg,,,,,4
41,41,Kreutzerstrasse_60318.jpeg,,,,,4
42,42,Rossittener_Strasse_60487.jpeg,,,,,4
43,43,Rostocker_Strasse_60323.jpeg,,,,,4
44,44,Legienstrasse_65929.jpeg,,,,,4
45,45,In_der_Beginenklause_60599.jpeg,,,,,4
46,46,Guenthersburgallee_60389.jpeg,,,,,4
47,47,Jugenheimer_Strasse_60528.jpeg,,,,,4
48,48,Anzengruberstrasse_60320.jpeg,,,,,4
49,49,Salmuensterer_Strasse_60386.jpeg,,,,,4
50,50,Bachstelzenweg_65929.jpeg,,,,,4
51,51,Neue_Schlesingergasse_60311.jpeg,,,,,4
52,52,Friedberger_Anlage_60314.jpeg,,,,,4
53,53,Sandaeckerstrasse_65933.jpeg,,,,,4
54,54,Rhonestrasse_60528.jpeg,,,,,4
55,55,Kleine_Nelkenstrasse_60488.jpeg,,,,,4
56,56,Chlodwig-Poth-Anlage_65936.jpeg,,,,,4
57,57,Kurmainzer_Strasse_65929.jpeg,,,,,4
58,58,Neue_Mainzer_Strasse_60313.jpeg,,,,,4
59,59,Hermesweg_60316.jpeg,,,,,4
60,60,Hildburghaeuser_Weg_65931.jpeg,,,,,4
61,61,Zum_Eiskeller_60529.jpeg,,,,,4
62,62,Hesselbergweg_65931.jpeg,,,,,4
63,63,Preungesheimer_Strasse_60389.jpeg,,,,,4
64,64,Mainzer_Landstrasse_60325.jpeg,,,,,4
65,65,Heylstrasse_60431.jpeg,,,,,4
66,66,Hugo-Wolf-Strasse_60529.jpeg,,,,,4
67,67,Krummauer_Strasse_60388.jpeg,,,,,4
68,68,Walter-Kolb-Strasse_60594.jpeg,,,,,4
69,69,Hostatostrasse_65929.jpeg,,,,,4
70,70,Stiftstrasse_60313.jpeg,,,,,4
71,71,Selma-Lagerloef-Strasse_60431.jpeg,,,,,4
72,72,Bruderhofstrasse_60388.jpeg,,,,,4
73,73,Berner_Strasse_60437.jpeg,,,,,4
74,74,August-Laubenheimer-Strasse_65929.jpeg,,,,,4
75,75,Neuhofstrasse_60318.jpeg,,,,,4
76,76,Launitzstrasse_60594.jpeg,,,,,4
77,77,Wallfahrtsweg_60389.jpeg,,,,,4
78,78,Neugasse_60437.jpeg,,,,,4
79,79,Dottenfeldstrasse_65936.jpeg,,,,,4
80,80,Rangenbergstrasse_60388.jpeg,,,,,4
81,81,Golub-Lebedenko-Platz_60326.jpeg,,,,,4
82,82,Schichaustrasse_60314.jpeg,,,,,4
83,83,Rotlintstrasse_60389.jpeg,,,,,4
84,84,Hanauer_Landstrasse_60314.jpeg,,,,,4
85,85,Biebergasse_60313.jpeg,,,,,4
86,86,Jahnstrasse_60318.jpeg,,,,,4
87,87,Brueningstrasse_65929.jpeg,,,,,4
88,88,Roemerstadtsteg_60439.jpeg,,,,,4
89,89,Radilostrasse_60489.jpeg,,,,,4
90,90,Am_Buchbaum_60437.jpeg,,,,,4
91,91,Am_Riederbruch_60386.jpeg,,,,,4
92,92,Eysseneckstrasse_60322.jpeg,,,,,4
93,93,Erlenbacher_Stadtweg_60437.jpeg,,,,,4
94,94,Tarnowitzer_Strasse_65933.jpeg,,,,,4
95,95,Propst-Goebels-Weg_60389.jpeg,,,,,4
96,96,Wittelsbacherallee_60385.jpeg,,,,,4
97,97,Soemmerringstrasse_60322.jpeg,,,,,4
98,98,Ludwigstrasse_60327.jpeg,,,,,4
99,99,Schalkwiesenweg_60488.jpeg,,,,,4
100,100,Aussiger_Strasse_60598.jpeg,,,,,4
101,101,Polizeimeister-Kaspar-Strasse_60320.jpeg,,,,,4
102,102,Schwarzwaldstrasse_60528.jpeg,,,,,4
103,103,Hoechster_Schlossplatz_65929.jpeg,,,,,4
104,104,Am_Lohwald_60488.jpeg,,,,,4
105,105,Jakob-Quirin-Weg_60437.jpeg,,,,,4
106,106,Wirschelweg_60437.jpeg,,,,,4
107,107,Georg-Voigt-Strasse_60325.jpeg,,,,,4
108,108,Licher_Strasse_60389.jpeg,,,,,4
109,109,Herbert-Boehm-Strasse_60528.jpeg,,,,,4
110,110,Haendelstrasse_60318.jpeg,,,,,4
111,111,Corneliusstrasse_60325.jpeg,,,,,4
112,112,Moenchhofstrasse_60326.jpeg,,,,,4
113,113,Rotteckstrasse_60316.jpeg,,,,,4
114,114,Kamelienstrasse_65929.jpeg,,,,,4
115,115,Elsheimerstrasse_60322.jpeg,,,,,4
116,116,Amtsgasse_65929.jpeg,,,,,4
117,117,Beselerstrasse_60385.jpeg,,,,,4
118,118,Bornheimer_Landwehr_60385.jpeg,,,,,4
119,119,Herbert-von-Meister-Strasse_65931.jpeg,,,,,4
120,120,Martin-Luther-Strasse_60316.jpeg,,,,,4
121,121,Casparistrasse_60435.jpeg,,,,,4
122,122,Galvanistrasse_60486.jpeg,,,,,4
123,123,Westendstrasse_60325.jpeg,,,,,4
124,124,An_der_Pfaffenmauer_60388.jpeg,,,,,4
125,125,Melanchthonplatz_60599.jpeg,,,,,4
126,126,Einbaumstrasse_65933.jpeg,,,,,4
127,127,Herriotstrasse_60528.jpeg,,,,,4
128,128,Am_Galgenberg_60389.jpeg,,,,,4
129,129,Bornweidstrasse_60388.jpeg,,,,,4
130,130,Platz_der_vergessenen_Kinder_60596.jpeg,,,,,4
131,131,Carlo-Schmid-Platz_60325.jpeg,,,,,4
132,132,Liederbacher_Strasse_65929.jpeg,,,,,4
133,133,Egestrasse_60488.jpeg,,,,,4
134,134,Franz-Simon-Strasse_65934.jpeg,,,,,4
135,135,Neuer_Wall_60594.jpeg,,,,,4
136,136,Hammersbacher_Weg_60388.jpeg,,,,,4
137,137,Blankenheimer_Strasse_60529.jpeg,,,,,4
138,138,Am_Martinszehnten_60437.jpeg,,,,,4
139,139,Azaleenweg_60433.jpeg,,,,,4
140,140,Hans-Thoma-Strasse_60596.jpeg,,,,,4
141,141,An_der_Wolfsweide_60435.jpeg,,,,,4
142,142,Hannah-Arendt-Strasse_60438.jpeg,,,,,4
143,143,Briandring_60598.jpeg,,,,,4
144,144,Alt-Roedelheim_60489.jpeg,,,,,4
145,145,Rauschenberger_Strasse_60433.jpeg,,,,,4
146,146,Breslauer_Strasse_60598.jpeg,,,,,4
147,147,Stralsunder_Strasse_60323.jpeg,,,,,4
148,148,Pfungststrasse_60314.jpeg,,,,,4
149,149,Altkoenigstrasse_60323.jpeg,,,,,4
150,150,Quirinsstrasse_60599.jpeg,,,,,4
151,151,Justinianstrasse_60322.jpeg,,,,,4
152,152,Georg-Speyer-Strasse_60487.jpeg,,,,,4
153,153,Nachtigallenweg_65929.jpeg,,,,,4
154,154,Karl-Albert-Strasse_60385.jpeg,,,,,4
155,155,Am_Muehlkanal_60599.jpeg,,,,,4
156,156,Amoeneburger_Strasse_60433.jpeg,,,,,4
157,157,Humperdinckstrasse_60598.jpeg,,,,,4
158,158,Roedelheimer_Strasse_60487.jpeg,,,,,4
159,159,Aystettstrasse_60322.jpeg,,,,,4
160,160,Am_Wasserturm_60435.jpeg,,,,,4
161,161,Lindenstrasse_60325.jpeg,,,,,4
162,162,Unter_den_Linden_60596.jpeg,,,,,4
163,163,Jakob-Latscha-Strasse_60314.jpeg,,,,,4
164,164,Sindlinger_Strasse_60326.jpeg,,,,,4
