Straßennummer,Straßenname,Ortsbezirk,Stadtteil Name,Stadtbezirk,Stadtbezirksvorst,Schiedsleutebezirk,Sozialrathaus Name,Polizeirevier,Postleitzahl,Address,Latitude,Longitude,class,type
2786,Dörpfeldstraße,10,Eckenheim,461,10.72,10,Dornbusch,12.0,60435,Dörpfeldstraße 60435 Frankfurt,50.1441903,8.6847893,highway,way
650,Dörrwiesenstraße,7,Rödelheim,402,7.56,7,Bockenheim,11.0,60489,Dörrwiesenstraße 60489 Frankfurt,50.1226167,8.6055333,highway,way
660,Dortelweiler Straße,4,Bornheim,272,4.22,4,Ost,6.0,60389,Dortelweiler Straße 60389 Frankfurt,50.1326407,8.7075808,highway,way
661,Dottenfeldstraße,6,Sossenheim,632,6.54,6C,Höchst,17.0,65936,Dottenfeldstraße 65936 Frankfurt,50.1192112,8.5675316,highway,way
662,Draisbornstraße,11,Seckbach,390,11.75,11,Ost,6.0,60389,Draisbornstraße 60389 Frankfurt,50.1471461,8.7281746,highway,way
663,Dreieichstraße,5,Sachsenhausen-N.,331,5.31,5A,Sachsenhausen,8.0,60594,Dreieichstraße 60594 Frankfurt,50.1028361,8.6906329,highway,way
664,Dreihäusergasse,9,Eschersheim,451,9.65,9,Dornbusch,12.0,60433,Dreihäusergasse 60433 Frankfurt,50.1621985,8.6583168,highway,way
665,Dreikönigsstraße,5,Sachsenhausen-N.,300,5.31,5A,Sachsenhausen,8.0,60594,Dreikönigsstraße 60594 Frankfurt,50.1064389,8.6868339,highway,way
667,Dreispitzstraße,7,Rödelheim,402,7.56,7,Bockenheim,11.0,60489,Dreispitzstraße 60489 Frankfurt,50.1258255,8.6073047,highway,way
668,Drosselweg,6,Unterliederbach,621,6.51,6C,Höchst,17.0,65929,Drosselweg 65929 Frankfurt,50.1037355,8.5319511,highway,way
669,Droysenstraße,4,Ostend,252,4.25,4,Ost,5.0,60385,Droysenstraße 60385 Frankfurt,50.1179041,8.7123095,highway,way
3524,Dubliner Straße,1,Gallus,161,1.06,1,Gallus,4.0,60327,Dubliner Straße 60327 Frankfurt,50.1080937,8.646796,highway,way
675,Dufourstraße,6,Sossenheim,631,6.53,6C,Höchst,17.0,65936,Dufourstraße 65936 Frankfurt,50.1199954,8.5551052,highway,way
676,Duisbergstraße,2,Westend-Nord,192,2.09,2,Dornbusch,12.0,60320,Duisbergstraße 60320 Frankfurt,50.1329592,8.6719735,highway,way
678,Dunantring,6,Sossenheim,631,6.53,6C,Höchst,17.0,65936,Dunantring 65936 Frankfurt,50.1166589,8.5573718,highway,way
679,Dunckerstraße,11,Riederwald,262,11.76,11,Ost,18.0,60386,Dunckerstraße 60386 Frankfurt,50.1285825,8.7319051,highway,way
671,Dürerstraße,5,Sachsenhausen-N.,321,5.32,5A,Sachsenhausen,8.0,60596,Dürerstraße 60596 Frankfurt,50.1023199,8.674806755741646,amenity,relation
672,Dürkheimer Straße,6,Nied,561,6.42,6A,Höchst,16.0,65934,Dürkheimer Straße 65934 Frankfurt,50.0985545,8.575362,highway,way
673,Düsseldorfer Straße,1,Gallus,152,1.06,1,Gallus,4.0,60329,Düsseldorfer Straße 60329 Frankfurt,50.1083119,8.6630146,highway,way
680,Ebereschenweg,10,Frankfurter Berg,492,10.71,10,Nord,14.0,60433,Ebereschenweg 60433 Frankfurt,50.1675507,8.6678167,highway,way
3637,Eberhard-Beckmann-Anlage,3,Nordend-West,202,3.16,3,Dornbusch,12.0,60320,Eberhard-Beckmann-Anlage 60320 Frankfurt,50.1361634,8.673336812005942,leisure,way
681,Eberhardstraße,4,Bornheim,281,4.24,4,Ost,6.0,60385,Eberhardstraße 60385 Frankfurt,50.1268778,8.7116343,highway,way
682,Ebersheimstraße,9,Dornbusch,463,9.69,9,Dornbusch,12.0,60320,Ebersheimstraße 60320 Frankfurt,50.1396544,8.6767626,highway,way
683,Eberstadtstraße,7,Praunheim,422,7.59,7,Bockenheim,14.0,60488,Eberstadtstraße 60488 Frankfurt,50.1454442,8.6123797,highway,way
2867,Echzeller Straße,16,Bergen-Enkheim,680,16.83,16,Ost,18.0,60388,Echzeller Straße 60388 Frankfurt,50.1581155,8.753153,highway,way
684,Eckenheimer Landstraße,3,Nordend-West,120,3.21,3,Ost,3.0,60318,Eckenheimer Landstraße 60318 Frankfurt,50.1246418,8.6863316,highway,way
684,Eckenheimer Landstraße,3,Nordend-West,203,3.16,3,Dornbusch,3.0,60322,Eckenheimer Landstraße 60322 Frankfurt,50.1297892,8.6838662,highway,way
684,Eckenheimer Landstraße,3,Nordend-West,202,3.16,3,Dornbusch,12.0,60320,Eckenheimer Landstraße 60320 Frankfurt,50.1420003,8.6834309,highway,way
684,Eckenheimer Landstraße,10,Eckenheim,461,10.72,10,Dornbusch,12.0,60435,Eckenheimer Landstraße 60435 Frankfurt,50.1466145,8.6826451,highway,way
685,Eckenheimer Schulstraße,10,Eckenheim,461,10.72,10,Dornbusch,12.0,60435,Eckenheimer Schulstraße 60435 Frankfurt,50.1506283,8.6819818,highway,way
686,Eckernförder Straße,10,Eckenheim,461,10.72,10,Dornbusch,12.0,60435,Eckernförder Straße 60435 Frankfurt,50.1429332,8.6784158,highway,way
2714,Eckstraße,14,Harheim,660,14.81,14,Nord,14.0,60437,Eckstraße 60437 Frankfurt,50.1797417,8.6927614,highway,way
688,Edenkobener Straße,6,Sindlingen,602,6.48,6B,Höchst,17.0,65931,Edenkobener Straße 65931 Frankfurt,50.0886971,8.507768,highway,way
689,Ederstraße,2,Bockenheim,350,2.13,2,Bockenheim,13.0,60486,Ederstraße 60486 Frankfurt,50.1200297,8.6388723,highway,way
3482,Edingerweg,2,Westend-Nord,192,2.09,2,Dornbusch,12.0,60320,Edingerweg 60320 Frankfurt,50.134751,8.6704706,highway,way
2868,Edisonstraße,16,Bergen-Enkheim,680,16.83,16,Ost,18.0,60388,Edisonstraße 60388 Frankfurt,50.142298,8.7443935,highway,way
3621,Edith-Stein-Weg,12,Kalbach-Riedberg,651,12.79,12,Nord,14.0,60438,Edith-Stein-Weg 60438 Frankfurt,50.1799574,8.6254606,highway,way
3673,Edmund-Rumpler-Straße,5,Flughafen,327,5.34,5A,Sachsenhausen,19.0,60549,Edmund-Rumpler-Straße 60549 Frankfurt,50.0566673,8.5914208,highway,way
691,Eduard-Bernstein-Weg,8,Niederursel,481,8.63,8,Nord,14.0,60439,Eduard-Bernstein-Weg 60439 Frankfurt,50.1646276,8.6227374,highway,way
692,Eduard-Rüppell-Straße,9,Dornbusch,462,9.69,9,Dornbusch,12.0,60320,Eduard-Rüppell-Straße 60320 Frankfurt,50.1370905,8.6726064,highway,way
693,Egelsbacher Straße,5,Niederrad,371,5.35,5B,Sachsenhausen,10.0,60528,Egelsbacher Straße 60528 Frankfurt,50.0858783,8.6480372,highway,way
694,Egenolffstraße,3,Nordend-Ost,221,3.19,3,Ost,3.0,60316,Egenolffstraße 60316 Frankfurt,50.1263261,8.693928,amenity,node
2648,Egerländer Straße,13,Nieder-Erlenbach,640,13.8,13,Nord,14.0,60437,Egerländer Straße 60437 Frankfurt,50.2010849,8.7068865,highway,way
695,Egestraße,7,Praunheim,423,7.59,7,Bockenheim,11.0,60488,Egestraße 60488 Frankfurt,50.138223,8.6129539,highway,way
696,Ehingerstraße,1,Gallus,154,1.05,1,Gallus,16.0,60326,Ehingerstraße 60326 Frankfurt,50.1000903,8.626903,highway,way
3580,Eibenweg,10,Berkersheim,500,10.74,10,Nord,14.0,60435,Eibenweg 60435 Frankfurt,50.1660677,8.6884768,highway,way
697,Eichendorffstraße,9,Dornbusch,442,9.68,9,Dornbusch,12.0,60320,Eichendorffstraße 60320 Frankfurt,50.1401674,8.6649173,amenity,node
698,Eichenstraße,6,Griesheim,552,6.41,6A,Gallus,16.0,65933,Eichenstraße 65933 Frankfurt,50.0951875,8.6027187,highway,way
699,Eichhörnchenpfad,6,Griesheim,552,6.41,6A,Gallus,16.0,65933,Eichhörnchenpfad 65933 Frankfurt,50.102934,8.5901939,highway,way
700,Eichwaldstraße,4,Bornheim,282,4.24,4,Ost,5.0,60385,Eichwaldstraße 60385 Frankfurt,50.124199,8.7040392,amenity,node
700,Eichwaldstraße,3,Nordend-Ost,222,3.18,3,Ost,6.0,60389,Eichwaldstraße 60389 Frankfurt,50.1268567,8.7009379,highway,way
701,Eifelstraße,6,Schwanheim,531,6.38,6A,Sachsenhausen,10.0,60529,Eifelstraße 60529 Frankfurt,50.0879332,8.5804121,highway,way
703,Einbaumstraße,6,Griesheim,541,6.39,6A,Gallus,16.0,65933,Einbaumstraße 65933 Frankfurt,50.0917813,8.6195961,highway,way
704,Einbiglerweg,11,Fechenheim,520,11.78,11,Ost,18.0,60386,Einbiglerweg 60386 Frankfurt,50.119991,8.7729939,highway,way
705,Einsiedlerstraße,8,Niederursel,481,8.63,8,Nord,14.0,60439,Einsiedlerstraße 60439 Frankfurt,50.1644874,8.626115,highway,way
706,Eisenacher Weg,6,Zeilsheim,611,6.49,6B,Höchst,17.0,65931,Eisenacher Weg 65931 Frankfurt,50.09578,8.5002796,highway,way
707,Eiserfelder Straße,6,Sossenheim,632,6.54,6C,Höchst,17.0,65936,Eiserfelder Straße 65936 Frankfurt,50.1252526,8.5807043,highway,way
708,Eiserne Hand,3,Nordend-West,120,3.21,3,Ost,3.0,60318,Eiserne Hand 60318 Frankfurt,50.1222638,8.6891514,highway,way
709,Eiserner Steg,1,Altstadt,10,1.01,1,Ost,1.0,60311,Eiserner Steg 60311 Frankfurt,50.1080543,8.6821446,tourism,way
709,Eiserner Steg,5,Sachsenhausen-N.,300,5.31,5A,Sachsenhausen,8.0,60594,Eiserner Steg 60594 Frankfurt,50.1080532,8.682139074311543,man_made,way
710,Elbestraße,1,Bahnhofsviertel,90,1.03,1,Gallus,4.0,60329,Elbestraße 60329 Frankfurt,50.1067551,8.669861,highway,way
711,Elbinger Straße,7,Bockenheim,343,7.57,2,Bockenheim,11.0,60487,Elbinger Straße 60487 Frankfurt,50.1256689,8.6268472,highway,way
712,Elefantengasse,1,Innenstadt,60,1.02,1,Ost,1.0,60313,Elefantengasse 60313 Frankfurt,50.1169888,8.6865933,highway,way
713,Elektronstraße,6,Griesheim,551,6.39,6A,Gallus,16.0,65933,Elektronstraße 65933 Frankfurt,50.0977946,8.5982898,highway,way
2602,Eleonore-Sterling-Straße,9,Eschersheim,451,9.65,9,Dornbusch,12.0,60433,Eleonore-Sterling-Straße 60433 Frankfurt,50.1580965,8.6655674,highway,way
3594,Elisabeth-Kuhn-Straße,6,Schwanheim,531,6.38,6A,Sachsenhausen,10.0,65929,Elisabeth-Kuhn-Straße 65929 Frankfurt,50.081931,8.5473596,highway,way
3119,Elisabeth-Schwarzhaupt-Anlage,9,Dornbusch,462,9.69,9,Dornbusch,12.0,60433,Elisabeth-Schwarzhaupt-Anlage 60433 Frankfurt,50.15164215,8.674347957545894,leisure,way
3407,Elisabeth-Selbert-Platz,12,Kalbach-Riedberg,651,12.79,12,Nord,14.0,60438,Elisabeth-Selbert-Platz 60438 Frankfurt,50.17888995,8.639103415423712,highway,way
3339,Elisabeth-Winterhalter-Straße,8,Niederursel,483,8.63,8,Nord,14.0,60439,Elisabeth-Winterhalter-Straße 60439 Frankfurt,50.1674137,8.6400597,highway,way
714,Elisabethenplatz,2,Bockenheim,350,2.13,2,Bockenheim,13.0,60486,Elisabethenplatz 60486 Frankfurt,50.1201364,8.6434939,highway,way
715,Elisabethenstraße,5,Sachsenhausen-N.,300,5.31,5A,Sachsenhausen,8.0,60594,Elisabethenstraße 60594 Frankfurt,50.1055131,8.6892406,highway,way
716,Elkenbachstraße,3,Nordend-Ost,130,3.2,3,Ost,3.0,60316,Elkenbachstraße 60316 Frankfurt,50.1217955,8.6948306,highway,way
3653,Ella-Bergmann-Michel-Straße,12,Kalbach-Riedberg,651,12.79,12,Nord,14.0,60438,Ella-Bergmann-Michel-Straße 60438 Frankfurt,50.1790192,8.6211157,highway,way
717,Ellerstraße,11,Seckbach,390,11.75,11,Ost,6.0,60389,Ellerstraße 60389 Frankfurt,50.1439679,8.7255382,highway,way
3359,Elli-Lucht-Park,5,Niederrad,371,5.35,5B,Sachsenhausen,10.0,60528,Elli-Lucht-Park 60528 Frankfurt,50.08982385,8.646656749360593,leisure,way
3561,Elly-Beinhorn-Straße,5,Flughafen,329,5.34,5A,Sachsenhausen,19.0,60549,Elly-Beinhorn-Straße 60549 Frankfurt,50.0307712,8.5895689,highway,way
3409,Elly-Heuss-Knapp-Straße,12,Kalbach-Riedberg,651,12.79,12,Nord,14.0,60438,Elly-Heuss-Knapp-Straße 60438 Frankfurt,50.180734,8.640179,highway,way
718,Elmer Weg,11,Fechenheim,510,11.77,11,Ost,18.0,60386,Elmer Weg 60386 Frankfurt,50.133466,8.7550859,highway,way
1022,Elsa-Brändström-Platz,2,Westend-Süd,100,2.11,2,Bockenheim,13.0,60325,Elsa-Brändström-Platz 60325 Frankfurt,50.1141053,8.6642914,highway,way
720,Else-Alken-Straße,5,Niederrad,372,5.36,5B,Sachsenhausen,10.0,60528,Else-Alken-Straße 60528 Frankfurt,50.0796413,8.6425544,highway,way
3643,Else-Epstein-Weg,3,Nordend-West,213,3.17,3,Ost,12.0,60435,Else-Epstein-Weg 60435 Frankfurt,50.1385928,8.6952774,highway,way
3748,Else-Kröner-Passage,1,Innenstadt,60,1.02,1,Ost,1.0,60313,Else-Kröner-Passage 60313 Frankfurt,50.1138427,8.6814857,highway,way
722,Elsheimerstraße,2,Westend-Süd,110,2.1,2,Bockenheim,3.0,60322,Elsheimerstraße 60322 Frankfurt,50.1196498,8.6721884,highway,way
723,Elsterstraße,6,Griesheim,552,6.41,6A,Gallus,16.0,65933,Elsterstraße 65933 Frankfurt,50.1017536,8.5939401,highway,way
724,Eltviller Straße,6,Sossenheim,631,6.53,6C,Höchst,17.0,65936,Eltviller Straße 65936 Frankfurt,50.1117481,8.5530828,highway,way
725,Emdener Straße,6,Griesheim,542,6.4,6A,Gallus,16.0,65933,Emdener Straße 65933 Frankfurt,50.1034279,8.604775,highway,way
726,Emil-Claar-Straße,2,Westend-Süd,110,2.1,2,Bockenheim,3.0,60322,Emil-Claar-Straße 60322 Frankfurt,50.1203063,8.6735319,highway,way
3747,Emil-Siering-Park,6,Unterliederbach,622,6.52,6C,Höchst,17.0,65929,Emil-Siering-Park 65929 Frankfurt,50.11235785,8.544739214714284,leisure,way
727,Emil-Sulzbach-Straße,2,Westend-Süd,170,2.11,2,Bockenheim,13.0,60486,Emil-Sulzbach-Straße 60486 Frankfurt,50.113923,8.6477822,highway,way
3067,Emil-von-Behring-Straße,8,Niederursel,483,8.63,8,Nord,14.0,60439,Emil-von-Behring-Straße 60439 Frankfurt,50.1678517,8.6355704,highway,way
728,Emmerich-Josef-Straße,6,Höchst,580,6.45,6C,Höchst,17.0,65929,Emmerich-Josef-Straße 65929 Frankfurt,50.1025698,8.5505641,highway,way
3751,Emmy-Klieneberger-Nobel-Straße,8,Niederursel,484,8.63,8,Nord,14.0,60438,Emmy-Klieneberger-Nobel-Straße 60438 Frankfurt,50.1710474,8.6288229,highway,way
3751,Emmy-Klieneberger-Nobel-Straße,8,Niederursel,484,8.63,8,Nord,14.0,60439,Emmy-Klieneberger-Nobel-Straße 60439 Frankfurt,50.1710474,8.6288229,highway,way
729,Emsdorfer Straße,9,Eschersheim,452,9.66,9,Dornbusch,12.0,60433,Emsdorfer Straße 60433 Frankfurt,50.1559684,8.6687558,highway,way
2790,Emser Brücke,1,Gallus,161,1.06,1,Gallus,4.0,60327,Emser Brücke 60327 Frankfurt,50.1124389,8.6436734,highway,way
2790,Emser Brücke,2,Westend-Süd,170,2.11,2,Bockenheim,13.0,60486,Emser Brücke 60486 Frankfurt,50.1157757,8.6434469,highway,way
730,Emser Straße,2,Bockenheim,341,2.13,2,Bockenheim,13.0,60486,Emser Straße 60486 Frankfurt,50.1165156,8.6432187,highway,way
731,Endsbornstraße,9,Eschersheim,451,9.65,9,Dornbusch,12.0,60433,Endsbornstraße 60433 Frankfurt,50.1612433,8.6550109,highway,way
732,Enge Gasse,9,Eschersheim,451,9.65,9,Dornbusch,12.0,60433,Enge Gasse 60433 Frankfurt,50.1606372,8.6550398,highway,way
734,Engelsplatz,11,Riederwald,262,11.76,11,Ost,18.0,60386,Engelsplatz 60386 Frankfurt,50.1300456,8.7333726,highway,way
735,Engelsruhe,6,Unterliederbach,622,6.52,6C,Höchst,17.0,65929,Engelsruhe 65929 Frankfurt,50.1153386,8.5383001,highway,way
736,Engelthaler Straße,10,Eckenheim,461,10.72,10,Dornbusch,12.0,60435,Engelthaler Straße 60435 Frankfurt,50.1522976,8.6859769,highway,way
737,Enkheimer Straße,4,Bornheim,290,4.22,4,Ost,6.0,60385,Enkheimer Straße 60385 Frankfurt,50.1330145,8.7166443,highway,way
738,Eppenhainer Straße,1,Gallus,165,1.08,1,Gallus,4.0,60326,Eppenhainer Straße 60326 Frankfurt,50.1041765,8.6255365,highway,way
738,Eppenhainer Straße,1,Gallus,165,1.08,1,Gallus,4.0,60486,Eppenhainer Straße 60486 Frankfurt,50.1068261,8.6247237,highway,way
739,Eppsteiner Straße,2,Westend-Süd,180,2.1,2,Bockenheim,3.0,60323,Eppsteiner Straße 60323 Frankfurt,50.1202398,8.6653468,highway,way
740,Eptingweg,6,Unterliederbach,621,6.51,6C,Höchst,17.0,65929,Eptingweg 65929 Frankfurt,50.1066982,8.5378434,highway,way
741,Erbacher Straße,5,Oberrad,380,5.28,5A,Sachsenhausen,8.0,60599,Erbacher Straße 60599 Frankfurt,50.1011057,8.7274137,highway,way
742,Erbbaustraße,1,Gallus,164,1.08,1,Gallus,16.0,60326,Erbbaustraße 60326 Frankfurt,50.1015189,8.6212381,highway,way
743,Erbsengasse,8,Niederursel,481,8.63,8,Nord,14.0,60439,Erbsengasse 60439 Frankfurt,50.1684371,8.6176727,highway,way
744,Erfurter Weg,6,Zeilsheim,611,6.49,6B,Höchst,17.0,65931,Erfurter Weg 65931 Frankfurt,50.0959959,8.4999045,highway,way
3320,Erich-Fromm-Platz,2,Westend-Süd,180,2.1,2,Bockenheim,3.0,60323,Erich-Fromm-Platz 60323 Frankfurt,50.1205687,8.665413765891198,leisure,way
2869,Erich-Kästner-Straße,16,Bergen-Enkheim,680,16.83,16,Ost,18.0,60388,Erich-Kästner-Straße 60388 Frankfurt,50.1454917,8.7515418,highway,way
745,Erich-Ollenhauer-Ring,8,Heddernheim,432,8.62,8,Nord,14.0,60439,Erich-Ollenhauer-Ring 60439 Frankfurt,50.1595141,8.6339541,highway,way
2649,Erlenbacher Stadtweg,13,Nieder-Erlenbach,640,13.8,13,Nord,14.0,60437,Erlenbacher Stadtweg 60437 Frankfurt,50.1857553,8.6871057,highway,way
746,Erlenbacher Straße,3,Nordend-Ost,222,3.18,3,Ost,6.0,60389,Erlenbacher Straße 60389 Frankfurt,50.1280331,8.7005297,highway,way
2870,Erlenseer Straße,16,Bergen-Enkheim,680,16.83,16,Ost,18.0,60388,Erlenseer Straße 60388 Frankfurt,50.1573438,8.759485,highway,way
747,Erlenstraße,2,Westend-Süd,100,2.11,2,Bockenheim,13.0,60325,Erlenstraße 60325 Frankfurt,50.1108998,8.6609284,highway,way
3513,Erna-Pinner-Straße,12,Kalbach-Riedberg,651,12.79,12,Nord,14.0,60438,Erna-Pinner-Straße 60438 Frankfurt,50.1793353,8.6343189,highway,way
3558,Ernst-Abbe-Straße,12,Kalbach-Riedberg,651,12.79,12,Nord,14.0,60438,Ernst-Abbe-Straße 60438 Frankfurt,50.1778993,8.6280823,highway,way
3277,Ernst-Achilles-Platz,4,Ostend,261,4.27,4,Ost,5.0,60314,Ernst-Achilles-Platz 60314 Frankfurt,50.112804249999996,8.703894153561771,leisure,way
3666,Ernst-Balser-Straße,12,Kalbach-Riedberg,651,12.79,12,Nord,14.0,60438,Ernst-Balser-Straße 60438 Frankfurt,50.1779767,8.6182283,highway,way
748,Ernst-Heinkel-Straße,11,Fechenheim,510,11.77,11,Ost,18.0,60386,Ernst-Heinkel-Straße 60386 Frankfurt,50.1270635,8.7552136,highway,way
749,Ernst-Kahn-Straße,8,Heddernheim,432,8.62,8,Nord,14.0,60439,Ernst-Kahn-Straße 60439 Frankfurt,50.15585,8.6339789,highway,way
3233,Ernst-May-Platz,4,Bornheim,281,4.24,4,Ost,6.0,60385,Ernst-May-Platz 60385 Frankfurt,50.1259184,8.7160726,highway,way
750,Ernst-Schwendler-Straße,2,Westend-Nord,192,2.09,2,Dornbusch,12.0,60320,Ernst-Schwendler-Straße 60320 Frankfurt,50.1367105,8.6654547,highway,way
2632,Ernst-Wiss-Straße,6,Griesheim,552,6.41,6A,Gallus,16.0,65933,Ernst-Wiss-Straße 65933 Frankfurt,50.0975023,8.5904888,amenity,node
751,Erntestraße,1,Gutleutviertel,151,1.04,1,Gallus,4.0,60327,Erntestraße 60327 Frankfurt,50.0943028,8.6387957,highway,node
752,Erzbergerstraße,6,Griesheim,541,6.39,6A,Gallus,16.0,65933,Erzbergerstraße 65933 Frankfurt,50.0941311,8.6103053,highway,way
753,Eschborner Landstraße,7,Rödelheim,402,7.56,7,Bockenheim,11.0,60489,Eschborner Landstraße 60489 Frankfurt,50.1276078,8.6022894,highway,way
754,Eschenbachstraße,5,Sachsenhausen-N.,322,5.33,5A,Sachsenhausen,8.0,60596,Eschenbachstraße 60596 Frankfurt,50.0951921,8.6680843,highway,way
755,Eschenheimer Anlage,3,Nordend-West,120,3.21,3,Ost,3.0,60316,Eschenheimer Anlage 60316 Frankfurt,50.1184913,8.6888797,highway,way
755,Eschenheimer Anlage,3,Nordend-West,120,3.21,3,Ost,3.0,60318,Eschenheimer Anlage 60318 Frankfurt,50.1200026,8.6864357,highway,way
756,Eschenheimer Tor,1,Innenstadt,50,1.02,1,Ost,1.0,60318,Eschenheimer Tor 60318 Frankfurt,50.1173583,8.6796306,highway,way
758,Eschersheimer Landstraße,2,Westend-Süd,110,2.1,2,Bockenheim,3.0,60322,Eschersheimer Landstraße 60322 Frankfurt,50.1242968,8.6751665,highway,way
758,Eschersheimer Landstraße,2,Westend-Nord,191,2.09,2,Dornbusch,3.0,60323,Eschersheimer Landstraße 60323 Frankfurt,50.1299055,8.6720858,highway,way
758,Eschersheimer Landstraße,2,Westend-Nord,192,2.09,2,Dornbusch,12.0,60320,Eschersheimer Landstraße 60320 Frankfurt,50.138728,8.6705059,highway,way
758,Eschersheimer Landstraße,9,Dornbusch,442,9.68,9,Dornbusch,12.0,60431,Eschersheimer Landstraße 60431 Frankfurt,50.1530436,8.6608421,highway,way
758,Eschersheimer Landstraße,9,Eschersheim,451,9.65,9,Dornbusch,12.0,60433,Eschersheimer Landstraße 60433 Frankfurt,50.1531024,8.6610599,highway,way
759,Eschweger Straße,11,Seckbach,390,11.75,11,Ost,6.0,60389,Eschweger Straße 60389 Frankfurt,50.1399031,8.7163527,highway,way
3761,Eski?ehirplatz,4,Bornheim,271,4.23,4,Ost,6.0,60385,Eski?ehirplatz 60385 Frankfurt,,,,
761,Espenstraße,6,Griesheim,542,6.4,6A,Gallus,16.0,65933,Espenstraße 65933 Frankfurt,50.0965667,8.6077414,highway,way
2791,Esperantostraße,5,Sachsenhausen-S.,323,5.3,5A,Sachsenhausen,8.0,60598,Esperantostraße 60598 Frankfurt,50.0902165,8.6827002,highway,way
762,Esslinger Straße,1,Gutleutviertel,151,1.04,1,Gallus,4.0,60329,Esslinger Straße 60329 Frankfurt,50.1023012,8.6630951,highway,way
3568,Ettinghausen-Platz,6,Höchst,591,6.46,6C,Höchst,17.0,65929,Ettinghausen-Platz 65929 Frankfurt,50.0998357,8.546638880534708,highway,way
763,Ettlingerstraße,4,Bornheim,281,4.24,4,Ost,5.0,60385,Ettlingerstraße 60385 Frankfurt,50.1251565,8.7127178,highway,way
764,Euckenstraße,6,Unterliederbach,622,6.52,6C,Höchst,17.0,65929,Euckenstraße 65929 Frankfurt,50.1103164,8.5393632,highway,way
3663,Eugen-Blanck-Straße,12,Kalbach-Riedberg,651,12.79,12,Nord,14.0,60438,Eugen-Blanck-Straße 60438 Frankfurt,50.1777646,8.6193642,highway,way
3630,Eugen-Hartmann-Straße,7,Praunheim,422,7.59,7,Bockenheim,14.0,60488,Eugen-Hartmann-Straße 60488 Frankfurt,50.1476125,8.6100273,highway,way
3664,Eugen-Kaufmann-Straße,12,Kalbach-Riedberg,651,12.79,12,Nord,14.0,60438,Eugen-Kaufmann-Straße 60438 Frankfurt,50.1778173,8.6234058,highway,way
765,Eulengasse,4,Bornheim,272,4.22,4,Ost,6.0,60385,Eulengasse 60385 Frankfurt,50.1314226,8.7111698,highway,way
3311,Europa-Allee,1,Gallus,161,1.06,1,Gallus,4.0,60327,Europa-Allee 60327 Frankfurt,50.1088158,8.6518967,highway,way
3311,Europa-Allee,1,Gallus,162,1.07,1,Gallus,4.0,60486,Europa-Allee 60486 Frankfurt,50.1083065,8.6372042,highway,way
3311,Europa-Allee,1,Gallus,162,1.07,1,Gallus,4.0,60326,Europa-Allee 60326 Frankfurt,50.1084067,8.6432582,highway,way
3364,Europabrücke,5,Niederrad,373,5.36,5B,Sachsenhausen,10.0,60529,Europabrücke 60529 Frankfurt,50.0882771,8.6174942,highway,way
3364,Europabrücke,6,Griesheim,541,6.39,6A,Gallus,16.0,60327,Europabrücke 60327 Frankfurt,50.089183000000006,8.617599642814262,man_made,way
3364,Europabrücke,6,Griesheim,541,6.39,6A,Gallus,16.0,65933,Europabrücke 65933 Frankfurt,50.089183000000006,8.617599642814262,man_made,way
3596,Europagarten,1,Gallus,162,1.07,1,Gallus,13.0,60486,Europagarten 60486 Frankfurt,50.10794835,8.631684988038987,leisure,relation
3682,Ewald-Heinrich-von-Kleist-Platz,12,Kalbach-Riedberg,651,12.79,12,Nord,14.0,60438,Ewald-Heinrich-von-Kleist-Platz 60438 Frankfurt,50.18235835,8.62580085,leisure,way
766,Eysseneckstraße,3,Nordend-West,203,3.16,3,Dornbusch,3.0,60322,Eysseneckstraße 60322 Frankfurt,50.1272917,8.6770811,highway,way
768,Eytelweinstraße,4,Ostend,261,4.27,4,Ost,5.0,60314,Eytelweinstraße 60314 Frankfurt,50.1101894,8.706884,highway,way
3530,Fabian-von-Schlabrendorff-Straße,12,Kalbach-Riedberg,651,12.79,12,Nord,14.0,60438,Fabian-von-Schlabrendorff-Straße 60438 Frankfurt,50.1821823,8.6230772,highway,way
769,Fabriciusstraße,6,Griesheim,541,6.39,6A,Gallus,16.0,65933,Fabriciusstraße 65933 Frankfurt,50.0931659,8.6021362,highway,way
770,Fachfeldstraße,11,Fechenheim,520,11.78,11,Ost,18.0,60386,Fachfeldstraße 60386 Frankfurt,50.122034,8.7682215,highway,way
773,Fahrgasse,1,Altstadt,10,1.01,1,Ost,1.0,60311,Fahrgasse 60311 Frankfurt,50.112187,8.6859152,highway,way
774,Fahrtor,1,Altstadt,10,1.01,1,Ost,1.0,60311,Fahrtor 60311 Frankfurt,50.1094541,8.6820629,highway,way
776,Falkensteiner Straße,3,Nordend-West,203,3.16,3,Dornbusch,3.0,60322,Falkensteiner Straße 60322 Frankfurt,50.1291566,8.6817481,highway,way
2685,Falkenweg,12,Kalbach-Riedberg,650,12.79,12,Nord,14.0,60437,Falkenweg 60437 Frankfurt,50.1856115,8.6327083,highway,way
777,Falkstraße,2,Bockenheim,361,2.12,2,Bockenheim,13.0,60487,Falkstraße 60487 Frankfurt,50.1256594,8.6439565,highway,way
778,Fallerslebenstraße,9,Dornbusch,442,9.68,9,Dornbusch,12.0,60320,Fallerslebenstraße 60320 Frankfurt,50.1399696,8.6648503,highway,way
