Straßennummer,Straßenname,Ortsbezirk,Stadtteil Name,Stadtbezirk,Stadtbezirksvorst,Schiedsleutebezirk,Sozialrathaus Name,Polizeirevier,Postleitzahl,Address,Latitude,Longitude,class,type
22,Albanusstraße,6,Höchst,591,6.46,6C,Höchst,17.0,65929,Albanusstraße 65929 Frankfurt,50.1016635,8.5459726,highway,way
23,Albert-Blank-Straße,6,Sindlingen,602,6.48,6B,Höchst,17.0,65931,Albert-Blank-Straße 65931 Frankfurt,50.0852316,8.5085414,highway,way
2752,Albert-Einstein-Straße,15,Nieder-Eschbach,670,15.82,15,Nord,14.0,60437,Albert-Einstein-Straße 60437 Frankfurt,50.2003437,8.6791637,highway,way
24,Albert-Linel-Straße,2,Bockenheim,163,2.15,2,Bockenheim,13.0,60486,Albert-Linel-Straße 60486 Frankfurt,50.1119357,8.6341981,highway,way
2736,Albert-Schweitzer-Straße,15,Nieder-Eschbach,670,15.82,15,Nord,14.0,60437,Albert-Schweitzer-Straße 60437 Frankfurt,50.1998457,8.6677202,highway,way
25,Albusstraße,1,Innenstadt,70,1.01,1,Ost,1.0,60313,Albusstraße 60313 Frankfurt,50.1142526,8.6882302,highway,way
26,Alemannenweg,6,Unterliederbach,622,6.52,6C,Höchst,17.0,65929,Alemannenweg 65929 Frankfurt,50.1143862,8.5396414,highway,way
3118,Alexander-Riese-Weg,8,Heddernheim,431,8.61,8,Nord,14.0,60439,Alexander-Riese-Weg 60439 Frankfurt,50.1589881,8.6518113,highway,way
3753,Alexander-Todd-Straße,8,Niederursel,484,8.63,8,Nord,14.0,60438,Alexander-Todd-Straße 60438 Frankfurt,50.1735402,8.6348681,highway,way
27,Alexanderstraße,7,Rödelheim,402,7.56,7,Bockenheim,11.0,60489,Alexanderstraße 60489 Frankfurt,50.1251415,8.6088387,highway,way
28,Alfred-Brehm-Platz,4,Ostend,140,4.26,4,Ost,5.0,60316,Alfred-Brehm-Platz 60316 Frankfurt,50.1157389,8.6988296,amenity,node
3035,Alfred-Delp-Straße,5,Sachsenhausen-S.,332,5.29,5A,Sachsenhausen,8.0,60599,Alfred-Delp-Straße 60599 Frankfurt,50.0969608,8.7137098,highway,way
2834,Alfred-Göbel-Weg,16,Bergen-Enkheim,680,16.83,16,Ost,18.0,60388,Alfred-Göbel-Weg 60388 Frankfurt,50.1507749,8.7541017,highway,way
3499,Alfred-Kiefer-Weg,6,Schwanheim,532,6.37,6A,Sachsenhausen,10.0,60529,Alfred-Kiefer-Weg 60529 Frankfurt,50.083895,8.6141668,highway,way
3681,Alfred-Pfaff-Straße,11,Seckbach,390,11.75,11,Ost,18.0,60386,Alfred-Pfaff-Straße 60386 Frankfurt,50.1320382,8.7291645,highway,way
3416,Alfred-Wegener-Straße,8,Niederursel,484,8.63,8,Nord,14.0,60438,Alfred-Wegener-Straße 60438 Frankfurt,50.1752152,8.6301526,highway,way
3391,Alkmenestraße,10,Preungesheim,470,10.73,10,Dornbusch,12.0,60435,Alkmenestraße 60435 Frankfurt,50.1518239,8.698589614309213,highway,way
29,Allendorfer Straße,9,Dornbusch,462,9.69,9,Dornbusch,12.0,60433,Allendorfer Straße 60433 Frankfurt,50.1529674,8.6674864,highway,way
30,Allerheiligenstraße,1,Innenstadt,80,1.01,1,Ost,1.0,60313,Allerheiligenstraße 60313 Frankfurt,50.1134816,8.6904755,highway,way
